category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Mobile Accessories,₹199,"Flipkart SmartBuy Edge To Edge Tempered Glass for Realme C2, OPPO A1K",4.2,"(2,815)",50% off,₹399,1,2019-08-14 22:52:13.954498
Mobile Accessories,₹139,RidivishN Edge To Edge Tempered Glass for Mi Redmi Note 7 Pro,3.5,(348),86% off,₹999,1,2019-08-14 22:52:13.955496
Mobile Accessories,₹899,Mi 10000 mAh Power Bank (PB10IZM),4.5,"(1,026)",25% off,"₹1,199",1,2019-08-14 22:52:13.955496
Mobile Accessories,₹899,Mi 10000 mAh Power Bank (PB10IZM),4.5,"(1,026)",25% off,"₹1,199",1,2019-08-14 22:52:13.956493
Mobile Accessories,₹269,Mi SJX02ZM 2 in 1 USB Type C Cable,4.4,"(15,105)",32% off,₹399,1,2019-08-14 22:52:13.956493
Mobile Accessories,₹199,Chevron Back Cover for Motorola Moto M,4.1,(89),83% off,"₹1,199",1,2019-08-14 22:52:13.957526
Mobile Accessories,₹299,"Flipkart SmartBuy Back Cover for Mi Redmi Note 7 Pro, Mi Redmi Note 7s",4.5,(523),57% off,₹699,1,2019-08-14 22:52:13.958524
Mobile Accessories,₹219,Knotyy Edge To Edge Tempered Glass for Realme X,3.7,(522),81% off,"₹1,200",1,2019-08-14 22:52:13.958524
Mobile Accessories,₹899,"Intex 11000 mAh Power Bank (IT-PB11K, Power_Bank)",4,"(4,06,680)",52% off,"₹1,899",1,2019-08-14 22:52:13.959519
Mobile Accessories,₹799,Syska 10000 mAh Power Bank (Power Boost 100),4.1,"(2,99,472)",55% off,"₹1,799",1,2019-08-14 22:52:13.960517
Mobile Accessories,₹999,Lenovo 13000 mAh Power Bank (PA13000),4.1,"(15,604)",45% off,"₹1,829",1,2019-08-14 22:52:13.960517
Mobile Accessories,₹299,Suprimus Back Cover for Samsung J7 Duo Ultra Slim Lightweight Hard Premium Matte Finish Original,3.8,(5),80% off,"₹1,499",0,2019-08-14 22:52:13.961480
Mobile Accessories,"₹1,399",Intex 20000 mAh Power Bank (IT-PB 20K Poly),4.1,"(24,124)",60% off,"₹3,550",1,2019-08-14 22:52:13.961480
Mobile Accessories,₹799,Syska 10000 mAh Power Bank (Power Boost 100),4.1,"(2,99,472)",55% off,"₹1,800",1,2019-08-14 22:52:13.962476
Mobile Accessories,₹329,Syska WC-2A Single Port Mobile Charger,4.1,"(31,103)",34% off,₹499,1,2019-08-14 22:52:13.963475
Mobile Accessories,₹649,Excelsior Back Cover for Mi Redmi Note 6 Pro,0,0,60% off,"₹1,646",1,2019-08-14 22:52:13.963475
Mobile Accessories,₹999,"Philips 10000 mAh Power Bank (DLP1710CB/97, Universal Power Pack)",4.2,"(6,177)",60% off,"₹2,499",1,2019-08-14 22:52:13.964471
Mobile Accessories,₹949,Ambrane 15000 mAh Power Bank (PP-150),4.2,"(7,973)",62% off,"₹2,499",1,2019-08-14 22:52:13.965468
Mobile Accessories,₹249,Gorilla Armour Tempered Glass Guard for Vivo Z1 Pro,4,(24),80% off,"₹1,299",1,2019-08-14 22:52:13.965468
Mobile Accessories,₹259,Flipkart SmartBuy Flip Cover for Mi Redmi Note 7 Pro,4.2,(428),74% off,₹999,1,2019-08-14 22:52:13.966503
Mobile Accessories,₹199,Flipkart SmartBuy 2A Fast Power Charger with Charge and Sync USB Cable,4.1,"(6,182)",60% off,₹499,1,2019-08-14 22:52:13.966503
Mobile Accessories,₹499,Excelsior Back Cover for Honor 6X,0,0,73% off,"₹1,876",1,2019-08-14 22:52:13.967498
Mobile Accessories,"₹1,299",Ambrane 20000 mAh Power Bank (PP-20),4.3,"(29,833)",65% off,"₹3,799",1,2019-08-14 22:52:24.070975
Mobile Accessories,"₹1,299",Ambrane 20000 mAh Power Bank (PP-20),4.3,"(29,833)",65% off,"₹3,799",1,2019-08-14 22:52:24.071965
Mobile Accessories,₹199,Flipkart SmartBuy Edge To Edge Tempered Glass for Motorola Moto One Power,4,"(2,692)",50% off,₹399,1,2019-08-14 22:52:24.072973
Mobile Accessories,₹699,Winkel Back Cover for Samsung Galaxy S9,0,0,53% off,"₹1,499",1,2019-08-14 22:52:24.072973
Mobile Accessories,₹142,Flipkart SmartBuy Back Cover for Mi Redmi 7A,4.2,(66),71% off,₹499,1,2019-08-14 22:52:24.073965
Mobile Accessories,₹199,Flipkart SmartBuy Edge To Edge Tempered Glass for Mi Redmi Note 6 Pro,4.1,"(15,576)",50% off,₹399,1,2019-08-14 22:52:24.073965
Mobile Accessories,₹179,Micvir Back Cover for Realme C2,4.3,(38),82% off,₹999,1,2019-08-14 22:52:24.074965
