category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,₹646,Buddymate 1080P 12 MP Sports Full HD 2.0 Inch HD LCD Screen Underwater Waterproof Camera with 32 GB SD...,3.1,97 Ratings & 11 Reviews,56% off,"₹1,499",Effective Pixels: 12 MPFull HDNA,0,2019-08-14 21:17:33.807725
Camera,"₹1,449",Lizzie MINI NIGHT VISION CAMERA HD Camcorder Night Vision Sports and Action Camera,0,0,42% off,"₹2,499",Effective Pixels: 12 MPHD10 Days Replacements Only,0,2019-08-14 21:17:33.807725
Camera,₹624,Aerizo Portable Wireless Battery Powered Waterproof 12 MP Full HD Action Camera Support Upto 32 GB SD ...,0,0,58% off,"₹1,499",Effective Pixels: 12 MPFull HDNA,0,2019-08-14 21:17:33.811728
Camera,"₹1,169",Buddymate 4K Waterproof Wifi Wide Angle 16 MP 4K Video Recording Camera SM-112 Sports & Action Camera,2.9,73 Ratings & 16 Reviews,13% off,"₹1,349",Effective Pixels: 16 MPOptical Zoom: 3xSensor Type: BSI CMOS | LCD Size: 3.5 inchMax Shutter Speed: 0.1Auto FocusNA,0,2019-08-14 21:17:42.660453
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",Instant CameraPolaroidInstaxCompany Warranty,0,2019-08-14 21:17:42.661791
Camera,"₹29,999",Fujifilm X Series X-A5 Mirrorless Camera Body with 15 - 45 mm Lens F3.5 - 5.6 OIS PZ,4.8,5 Ratings & 1 Reviews,14% off,"₹34,999",Effective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Which Includes 1 Year International,1,2019-08-14 21:17:42.663403
Camera,"₹4,799",SJCAM SJ4000 WI-FI (with Sports Kit) Sports and Action Camera,0,0,46% off,"₹9,000",Effective Pixels: 12 MP1080p30 Days warranty,1,2019-08-14 21:17:42.663403
Camera,"₹7,999",SJCAM SJ5000 X ELITE Adjustable Viewing Angle: 170° 140° 110° & 70° Sports & Action Camera,4.6,10 Ratings & 5 Reviews,48% off,"₹15,400","Effective Pixels: 12 MPOptical Zoom: 6 TIMESSensor Type: CMOS | LCD Size: 2 inchMax Shutter Speed: 20001 year guarantee for device &
6 months for battery",1,2019-08-14 21:17:42.668917
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",0,0,2019-08-14 21:17:42.670738
Camera,₹670,OSRAY Full HD 1080P Sports Action Camera 2.0 Inch LCD Camcorder Underwater 30m/98ft Waterproof Sports ...,3,22 Ratings & 7 Reviews,73% off,"₹2,499",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:42.672939
Camera,"₹1,299",Teconica 16MP 4K Ultra HD Wifi Support Wireless Outdoor Waterproof Wide Angle 3x Optical Zoom Camera w...,2.7,3 Ratings & 0 Reviews,55% off,"₹2,899",Effective Pixels: 16 MPUltra HDNA,0,2019-08-14 21:17:42.673937
Camera,₹649,Teconica Action Camera Wide Angle Full HD High Resolution Action Camera for Sports and Action Camera,3.5,20 Ratings & 1 Reviews,67% off,"₹1,999",Effective Pixels: 12 MPHDN/A,0,2019-08-14 21:17:42.676723
Camera,"₹6,999",Fujifilm Mini 9 Cobalt Blue with Brown Case and 40 Shots Instant Camera,5,6 Ratings & 1 Reviews,29% off,"₹9,950",0,1,2019-08-14 21:17:42.677733
Camera,"₹1,190",ALONZO 4k Acton Camera 4K Wifi Action Camera Ultra HD 100Feet Waterproof Sport Camera 2 Inch LCD Scree...,4,40 Ratings & 4 Reviews,64% off,"₹3,399",Effective Pixels: 16 MPHDNA,0,2019-08-14 21:17:42.680972
Camera,₹999,SHIANK ACTION SHOT Action Camera Shot Full HD 1080p 12mp Action Camera Sports and Action Camera,3.2,13 Ratings & 5 Reviews,66% off,"₹2,999",Effective Pixels: 14 MPHD10 DAY REPLACEMENT,1,2019-08-14 21:17:42.682862
Camera,₹698,SpadeAces 1080 1080p action camera 1080P 12MP Sports Helmet Waterproof Camera Sports and Action Camera,0,0,65% off,"₹1,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:42.683846
Camera,₹699,Techie & Trendy SQ11 HD Camcorder Night Vision DVR Sports and Action Camera,3.2,75 Ratings & 13 Reviews,72% off,"₹2,500",Effective Pixels: 2 MPHDNo warranty,0,2019-08-14 21:17:42.683846
Camera,₹670,CALLIE action camera 1080P 12Mp Car Bike Helmet Cam Sports and Action Camera,3,22 Ratings & 4 Reviews,66% off,"₹1,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:42.689482
Camera,"₹6,499",Sony CyberShot DSC-W800/SC IN5,4,481 Ratings & 73 Reviews,0,0,Effective Pixels: 20.1 MPOptical Zoom: 5 | Digital Zoom: 13xAuto FocusDisplay Size: 32 Years Sony India Warranty,1,2019-08-14 21:17:42.691704
Camera,"₹29,999",dji Osmo Action Sports and Action Camera,4.6,20 Ratings & 6 Reviews,11% off,"₹33,999",Effective Pixels: 12 MP4K HDR1 Year Warranty,1,2019-08-14 21:17:42.693700
Camera,₹890,Spring Jump Action Sports 1080p 12MP Sports Waterproof Camera With Micro Sd Card Slot And Multi Langua...,3.3,13 Ratings & 2 Reviews,80% off,"₹4,599",Effective Pixels: 12 MPHDManufacturing Warranty,0,2019-08-14 21:17:42.696174
Camera,"₹1,399",IBS MINI NIGHT VISION CAMERA SQ11 HD Camcorder Night Vision DVR 1080P Sports Portable Video Recorder M...,3.1,238 Ratings & 39 Reviews,53% off,"₹2,999",Effective Pixels: 12 MPHDna,0,2019-08-14 21:17:42.697199
Camera,"₹24,999",Sony CyberShot DSC-HX400V/CIN5,4.4,510 Ratings & 106 Reviews,0,0,Effective Pixels: 20.4 MPOptical Zoom: 50 | Digital Zoom: 540xAuto FocusDisplay Size: 2.52 Years Sony India Warranty,1,2019-08-14 21:17:42.697199
Camera,"₹32,999",Fujifilm X Series X-T100 Mirrorless Camera Body with XC 15 - 45 mm Lens F3.5 - 5.6 OIS PZ,4.2,10 Ratings & 4 Reviews,17% off,"₹39,999",Effective Pixels: 24.2 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Which Includes 1 Year International,1,2019-08-14 21:17:42.701807
Camera,"₹50,499",Nikon DSLR D5600 DSLR Camera with AF-P DX Nikkor 18-55 mm f/3.5-5.6 VR with and 16GB Memory Card and L...,4.6,"3,330 Ratings & 596 Reviews",9% off,"₹55,950",Effective Pixels: 24.2 MPSensor Type: CMOSWiFi AvailableFull HD2 Years Domestic Warranty,0,2019-08-14 21:17:42.703987
