category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Desktop PCs,"₹27,490",Lenovo - (Pentium Quad Core/4 GB DDR3/500 GB/Windows 10 Home),4,(58),16% off,"₹32,900",1,2019-08-14 11:58:25.328383
Desktop PCs,"₹78,990",Asus ROG (GL10CS-IN036T) Full Tower with Core i7 (9700K) 8 GB RAM 256 GB SSD Capacity 4 GB   Graphics Memory,0,0,26% off,"₹1,06,990",1,2019-08-14 11:58:25.328383
Desktop PCs,"₹11,459",Foxin Axe Red/Blue 1102 Ci3 4GB with Core i3 4 GB RAM 500 GB Hard Disk .5 GB   Graphics Memory,0,0,52% off,"₹24,000",0,2019-08-14 11:58:25.328383
Desktop PCs,"₹17,444",Foxin Handy/i5/500G/DVD/WiFi Full Tower with Core i5 4 GB RAM 500 GB Hard Disk 1 GB   Graphics Memory,0,0,50% off,"₹34,999",0,2019-08-14 11:58:25.332421
Desktop PCs,"₹22,490",HP - (APU Quad Core E2/4 GB DDR3/1 TB/Free DOS),4.1,(84),23% off,"₹29,297",1,2019-08-14 11:58:25.332901
Desktop PCs,"₹19,999",SYNTRONIC S53812A1 with Core i5 2400 8 GB RAM 1 TB Hard Disk 2 GB   Graphics Memory,0,0,20% off,"₹24,999",1,2019-08-14 11:58:25.333898
Desktop PCs,"₹24,990",Lenovo 510S-07ICB (90K800CXIN) Full Tower with Core i3 (8100) 4 GB RAM 1 TB Hard Disk,0,0,18% off,"₹30,690",1,2019-08-14 11:58:25.333898
Desktop PCs,"₹7,599",Zoonis Z10NSDVD111 Mid Tower with CORE 2 DUO 4 RAM 320 GB Hard Disk MB GB   Graphics Memory,0,0,30% off,"₹10,999",0,2019-08-14 11:58:25.333898
Desktop PCs,"₹6,999",zoonis Z10NS109 Mid Tower with CORE 2 DUO 2 RAM 320 GB Hard Disk MB GB   Graphics Memory,0,0,29% off,"₹9,989",0,2019-08-14 11:58:25.337944
Desktop PCs,"₹6,579",Iball DTCPA Mini Tower with Dual Core 2 GB RAM 320 GB Hard Disk,3.5,(48),47% off,"₹12,500",0,2019-08-14 11:58:25.341939
